2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,-1.1054278870259386,-1.9017486587695225,-1.9339811699625886,-1.6957397583842286,-2.1447419874904106,-2.1029159005291276,-2.052063532955341,-1.6033194087701406,-1.3419652158482862,-0.8779488110474142,-1.5719127648990225,-1.210024859613332,-2.1051766244027665,-2.4540370346523614,-2.377144725178733,-2.6300996965176178,-2.6998688871553598,-2.9625672350667367,-2.958297410170844,-2.91264386421228,-2.6938860571471404,-2.8115009332025704,-2.7575300210740252,-2.993934030177697,-2.907215873234333,-2.820805214133439,-2.3758172511363953,-3.023943198441633,-3.211512577773676,-2.649127136046591,-2.5575901369371126,-1.9991789423066304,-1.653265344263377,-2.4997516514037956,-2.989349730638146,-2.6402522479072914,-3.6842763924883184,-3.0441420185683272,-3.1485625378317263,-2.5482201362261763,-2.2699988775449644,-1.9286894552038596,-2.5404697621370325,-2.7098209615785143,-1.878282764149696,-1.718062777545722,-0.9353654097267508,-0.7140731348011471,0.18056843562653738,0.08051501296797506,1.0581455434762796,1.0766639395990314,1.4231966035216936,2.8424043036844813,2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,-1.1172021912352648,-1.9136920694528665,-1.9459599644003713,-1.7077538084169523,-2.1571211741767313,-2.115313173837994,-2.0644500976625535,-1.6156256844631027,-1.3542204927696084,-0.8905213576724093,-1.5846195157096807,-1.2228998555898751,-2.1186293044391133,-2.467776351993497,-2.3908655815105164,-2.644008704831499,-2.7138143808322583,-2.976658896402948,-2.9723871126727097,-2.926715958989279,-2.70788213788906,-2.82556860619393,-2.7715789927178047,-3.0081055979339375,-2.921359943929296,-2.834923106688207,-2.390226014675967,-3.0386424296104977,-3.2263595608786386,-2.6647156839333137,-2.573153628836857,-2.0154208625912244,-1.669678891612309,-2.5175459174635395,-3.007797008017541,-2.6588464654840736,-3.7050031245797332,-3.0683894759943495,-3.1729224711804576,-2.5741424235409367,-2.2960219007716027,-1.9550309981686036,-2.5673338768565785,-2.7368935142526905,-1.910833863460362,-1.7506312150703274,-0.9712317523621155,-0.7501266762727111,0.1403501735010705,0.040271340813848124,1.012844408297107,1.0313455962238482,1.3769314692795638,2.786353674314332,1.9281534769156772,-2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,-1.0759323477515532,-1.871616721566886,-1.90375024620187,-1.6654800985794518,-2.113426086100427,-2.071564584042157,-2.020753492495373,-1.5723379425341617,-1.3111863452853783,-0.8465013092319423,-1.5399173074162689,-1.1777106749415693,-2.0711007730258615,-2.4191066933709418,-2.342286967178392,-2.5946705587757855,-2.664322094504448,-2.9265539767267224,-2.9222906420235613,-2.8766977242081455,-2.658208779292654,-2.7755984432664853,-2.721693820034673,-2.957700628503226,-2.871082275563457,-2.7847679779387327,-2.339169361274467,-2.9863089245812744,-3.1734243710272683,-2.609287475432065,-2.51785316772622,-1.9579125418072083,-1.6117203256324304,-2.454165720562349,-2.9417640127050997,-2.59246834412123,-3.6301099554091976,-2.980791569309232,-3.0848062128682234,-2.4808039790586367,-2.202632138927684,-1.8608833915522398,-2.47049756545668,-2.6390719802511646,-1.7938896921833158,-1.6339332569222043,-0.8442515867577235,-0.6230250547582502,0.27953142675918,0.1798501891132984,1.1660902468535899,1.1845785066517263,1.531931675586475,2.965319744005373,2.1584160177579963,1.364153449927771,2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,-0.8956126393872182,-1.6855914191335843,-1.7170354004430914,-1.4791087632269344,-1.919430038997542,-1.877440116040633,-1.8270043004096261,-1.381684582606977,-1.1224098995967478,-0.6547741959368261,-1.3430348521362045,-0.9797936167480227,-1.8598090806270038,-2.20147504613051,-2.1253216844506753,-2.3733918036765007,-2.442106326846309,-2.7006571169689355,-2.696446616231988,-2.6513622741990033,-2.4351739876796366,-2.550808599948455,-2.4974720646638087,-2.7303044473640896,-2.64455550964815,-2.559088767812973,-2.1108370064448825,-2.749796080303845,-2.9334552219708407,-2.3597234761549437,-2.26925178029755,-1.7016211507530747,-1.3550746818678916,-2.1683382607847883,-2.6408822347027368,-2.291886070877102,-3.2827604510670256,-2.5766846973570194,-2.6772691020471355,-2.0543890090400327,-1.7791242902186228,-1.4379649694079013,-2.0277293118862527,-2.189652342315649,-1.2684652398359917,-1.1126247861648035,-0.29555811072918936,-0.07927475351928376,0.8445913844271371,0.749519436562106,1.7471048707989543,1.7648211081041953,2.1034884840627877,3.5247545567050995,2.857596507940309,2.2706182592054986,2.4084884335167263,2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,-0.7924743454881434,-1.5800846901099508,-1.6111795329466627,-1.3732031703943481,-1.809776705093272,-1.7676731786874564,-1.7173909628845034,-1.2733054953642324,-1.014789790692373,-0.5449638074937816,-1.2311649674964675,-0.8669170213197243,-1.7406376243666635,-2.0792721634345193,-2.0033880436436053,-2.249426693634738,-2.3177187289126815,-2.574598928462295,-2.570411803066393,-2.525547208563047,-2.3103381922455735,-2.425168129061765,-2.372073112578292,-2.6034799870609215,-2.518095590245909,-2.4329817184014675,-1.982744494567797,-2.618140023095777,-2.800190662233228,-2.220603972910968,-2.130512395154291,-1.5578559234010039,-1.2104986478135875,-2.009708059474818,-2.4752791073764553,-2.1257652109219083,-3.0946991968512507,-2.358612548825424,-2.4577928237542843,-1.8235632354884643,-1.5487316554342154,-1.2065239929003686,-1.7887201518674678,-1.94798770539751,-0.9855223975042434,-0.8307609006923135,0.005361767234379133,0.22093151514067236,1.164578957683287,1.0708334710063618,2.0876672899012276,2.1052337705471458,2.444572680727392,3.8918982695935465,3.298709997852207,2.9846016586029496,3.10790750240607,2.753201052322568,2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,-0.8143827846624321,-1.6022172219375472,-1.6333730241796256,-1.3954865200849178,-1.8326742747023892,-1.7906082542906836,-1.7403123627661539,-1.2961319465233097,-1.0375530797689532,-0.568363256245709,-1.254724856687391,-0.8908288765859304,-1.7654823306916274,-2.104586470263044,-2.028679565716303,-2.2750215891852044,-2.343369454597099,-2.600475075217315,-2.596285036418663,-2.5513952397871926,-2.3360803015576117,-2.4510221174424762,-2.3979010966925336,-2.629494357579088,-2.544072843676722,-2.458924162379508,-2.009271528206512,-2.645089502244234,-2.827374793910649,-2.249193719104627,-2.159073214565443,-1.5877281675132657,-1.2407462483495355,-2.0422304216622478,-2.5088349284905425,-2.159659943749877,-3.1320105296107563,-2.4020924586765537,-2.501421358800907,-1.8700692305025273,-1.5955363001676663,-1.254031642725902,-1.8368084875170843,-1.9963406550638827,-1.043410212617564,-0.8887933751513631,-0.05870814746049123,0.15635775385806536,1.0922828458579115,0.9986032951167688,2.006045415045932,2.0235602494515934,2.3609112591465413,3.790449962868131,3.1761440996582975,2.748051835215514,2.869277725074737,2.5143876136785246,1.528849019882482,-1.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,-0.6151792230344194,-1.3968870692488224,-1.4273016919115205,-1.1897789118059239,-1.6187843523037275,-1.576579587390313,-1.526685252681732,-1.0858192683482404,-0.8292519986373291,-0.35688712368646996,-1.0377300633692812,-0.6727226178741172,-1.5330981864020412,-1.865456512842629,-1.790257855193358,-2.0320177277669247,-2.099371138118994,-2.3525731490129895,-2.348439100905386,-2.304088311286151,-2.0912129608235612,-2.204293502831577,-2.1517748272603536,-2.380003768319341,-2.2955032919495086,-2.2112527915706592,-1.7587945661526263,-2.385960173944152,-2.5645982506585607,-1.976349961996995,-1.8872432658526312,-1.3078960315158132,-0.9605788829434296,-1.7317361357381384,-2.182809521770212,-1.8340134954934078,-2.7587882800631505,-1.9735116482645876,-2.069449343248496,-1.4207489644015425,-1.1493005078225256,-0.8087957335086685,-1.3721727427585462,-1.5252715003381994,-0.5061491679862584,-0.35558496943942575,0.494324940982425,0.704314932826278,1.6515809492714595,1.5620857837352844,2.568902009331928,2.5856944543036424,2.9133344723438563,4.312473160815498,3.775053852655745,3.408107038901719,3.4980328149672473,3.230817201008141,2.496755561025007,1.7622364088867548,2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,-0.8119172712593513,-1.5918843381963879,-1.6226663653748374,-1.3870095476468585,-1.8190626562796535,-1.7773720535900435,-1.7276094834276343,-1.2881352903879137,-1.0323169890677497,-0.5679099592035272,-1.246482116310053,-0.8864572622367108,-1.749756683182862,-2.0839794343941245,-2.0090362417732095,-2.251794405468403,-2.3191938529163294,-2.572681600612221,-2.568548915998764,-2.524259619631065,-2.3118002452256197,-2.4250920299523466,-2.37267855530786,-2.6010188594351127,-2.516724718499027,-2.4326987708797208,-1.9876220372840399,-2.6141070460399916,-2.7934150554617543,-2.2198501468294305,-2.1311711477141433,-1.566703290615641,-1.2253857514510045,-2.0074301244423745,-2.4618410865849323,-2.1190401522071136,-3.0580478509781046,-2.324926387319327,-2.4202966841317823,-1.8028029798861034,-1.5387964246715045,-1.2103386654196315,-1.7661995901940197,-1.9179475219940136,-0.9908031283604054,-0.8458143619780739,-0.06943206295240494,0.12905261417146185,0.9755739368329597,0.8903589759649546,1.7699389043626748,1.785479273461163,2.0795278458883204,3.2386950816876046,2.545012692260545,1.5864645607129886,1.6546113996397516,1.4306406791300124,0.49111790667006555,-0.19375652283049102,-0.03969683680201118,-2.0000000000000004,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,-0.5552889631496255,-1.3261896351312366,-1.3559790356127845,-1.1211767946316789,-1.542107307542969,-1.5003119888887686,-1.4511453853770468,-1.0166443787575212,-0.7638270309368714,-0.29631192044537674,-0.966631954473732,-0.6059167134323962,-1.4495030353174858,-1.7745268393729046,-1.7006311018920959,-1.9371009332844764,-2.0031050658782257,-2.2511369650454576,-2.2470835352934007,-2.203566230578531,-1.9946263101616204,-2.1053312252352185,-2.0537869895103804,-2.2774027276255158,-2.1944460217773587,-2.1117285066293285,-1.6640622852566542,-2.2782599926421048,-2.4525712799790758,-1.8676750404193643,-1.78048917226931,-1.2076239204152974,-0.8669254820136847,-1.609212814176313,-2.0430390113593866,-1.7018953753481671,-2.5795282047931014,-1.7843583894116686,-1.8752520980143725,-1.241837412953337,-0.9831424086772707,-0.6581805453365321,-1.1883216328228647,-1.331780279734847,-0.3420137123290279,-0.20276930966964055,0.5842013402897578,0.7751200347670687,1.6203378832353803,1.5403163523120043,2.4051737888418065,2.4198064573758766,2.7002489460584456,3.8152749009993827,3.2116214459813457,2.4735752676544807,2.5300609142874935,2.347647324184934,1.667380811453075,1.1886145178951437,1.3063456214004145,0.3230132793650031,2.0000000000000004,,,,,,,,,,,,,,,,,,,,,
2021-04-16,-0.4482530926669493,-1.3066323542916005,-1.336368427867641,-1.1014992519620461,-1.5218878883544362,-1.4800623924728362,-1.430909566042075,-0.9965085746636692,-0.7437563671170105,-0.2757239078502524,-0.9458755539912453,-0.5848801948697021,-1.4276359708095316,-1.752247161989625,-1.6783743642566342,-1.9145765453046824,-1.9805303309327178,-2.22836006070063,-2.224309282946005,-2.1808153355997666,-1.9719750019859765,-2.082580152007089,-2.0310603876543394,-2.2545080972615583,-2.1715867230964325,-2.0889026267016266,-1.6407691396836428,-2.2545796913118985,-2.4286853383368325,-1.8426510281343824,-1.7554946022812812,-1.181587495565482,-0.8406077090177867,-1.580987983675931,-2.013945226628871,-1.6725584084251959,-2.5474001816896323,-1.7475921492747346,-1.83836276504744,-1.2029283215480338,-0.9440604732013821,-0.6186506484613712,-1.1482846497270065,-1.2915299493445864,-0.2955070242303416,-0.15620456090466014,0.6342844636082654,0.825446176142997,1.6747511358703433,1.5947194699465188,2.464042265249459,2.4786950339329215,2.7599856701307393,3.8820952396560857,3.2852879652835685,2.5645191638529483,2.621133073075023,2.438812739131209,1.7661149052458753,1.290519415260183,1.408447049711057,0.4424569518135521,2.150785100895398,2.0000000000000004,,,,,,,,,,,,,,,,,,,,
2021-04-19,-0.46821545693457867,-1.3261541929132092,-1.4849666670010555,-1.25131347134778,-1.6743414845752849,-1.6328684742299424,-1.5837734086537345,-1.1500506442415692,-0.8976458081659773,-0.435131909882513,-1.1041905014823374,-0.7465798961252498,-1.592334922768016,-1.9186797801388116,-1.8449234903027902,-2.0821247518406683,-2.1481823818768824,-2.396488543736713,-2.3924345537809684,-2.3489416662139058,-2.140196743500113,-2.2510787631113067,-2.199584179971093,-2.4233530551127815,-2.3405004581680435,-2.257898740154797,-1.814843367241759,-2.4288429329488608,-2.6036576256170028,-2.028014488875987,-1.9410634705736285,-1.3774561570231036,-1.0403971901013531,-1.7900563051431517,-2.2263048214993026,-1.8887487963346539,-2.7761746403153866,-2.013193677180666,-2.103859425343658,-1.488816576134104,-1.2342354614031816,-0.916014380105975,-1.442517983554685,-1.585413255827829,-0.6478207279010721,-0.511398256409234,0.23718967546437358,0.42245629017272807,1.2185889779170722,1.1405356639511335,1.9476419414829678,1.9617224514470215,2.2275183954593363,3.2458471679343073,2.594952291628539,1.7322981318072317,1.7841966949251664,1.612130501196196,0.9152417586701234,0.4495991305437438,0.5565453425754175,-0.44779586703613616,0.8033321738554667,-1.7265051353795169,-2.0000000000000004,,,,,,,,,,,,,,,,,,,
2021-04-20,-0.3498202777249531,-1.2115040919765416,-1.3709018182284947,-1.3709018182284944,-1.7963311187161157,-1.7551105020858258,-1.706026533136152,-1.2725347602293342,-1.0202263832424232,-0.5617384913143694,-1.2304336774485203,-0.8752307568493708,-1.724050119264486,-2.0520583593845627,-1.9783322045868177,-2.2165401841872976,-2.2827388850047905,-2.531646189354079,-2.5275860508219945,-2.4840558636154957,-2.275204487311794,-2.3864069628450864,-2.3348872409221553,-2.559112782810494,-2.476242308893428,-2.393633737737678,-1.9542508647514987,-2.5689826210587774,-2.744536759287883,-2.176682198866778,-2.0898021150984345,-1.5337683497376209,-1.1994085708961273,-1.9573898761808592,-2.3968872336998035,-2.061902450615547,-2.9608674190700968,-2.225895479530316,-2.3166872578323328,-1.716204743746657,-1.464306092677156,-1.1508129269211331,-1.67628432669357,-1.8192937428591636,-0.9234882186896075,-0.7887596776763481,-0.0683239587286393,0.11334165072025086,0.8747890194386334,0.7978396521226133,1.5654255838966271,1.579170044002237,1.835534133988335,2.790178789844398,2.104316553228498,1.1563633809320282,1.2058142516397516,1.038864748237315,0.3259118421733429,-0.13651466241948465,-0.03499040241107464,-1.065208605106606,-0.011791703228120586,-2.6117980448957243,-2.8327931586468087,-2.0000000000000004,,,,,,,,,,,,,,,,,,
2021-04-21,-0.603433008157036,-1.4820365953403414,-1.6448523907637127,-1.6448523907637125,-1.644852390763712,-1.6035071243473609,-1.5546532464490324,-1.1230350646512357,-0.8718712315838779,-0.41082180426501463,-1.0764088686443283,-0.7201337542961255,-1.560237170268343,-1.8841083859929488,-1.8107807295658493,-2.046206125865527,-2.111814638810765,-2.35839832351301,-2.3543710929042243,-2.311154070107201,-2.1037093615551723,-2.2137987454188752,-2.162626000665835,-2.3848610020861805,-2.3025176293014518,-2.220421160610768,-1.77882577609797,-2.388543416493282,-2.561915061320684,-1.9871348083890543,-1.9008081477304857,-1.3390497818048088,-1.004034115591345,-1.744083849386777,-2.174696642481274,-1.839509532435179,-2.7116341562663444,-1.944902144666397,-2.0340211274138214,-1.4231585717305764,-1.1723043320871684,-0.858525174861963,-1.3751406185974115,-1.5151572301144243,-0.5840349869862286,-0.45070978175163395,0.2827669099813582,0.46314302563341736,1.2364559685852625,1.160812188198452,1.938354815103628,1.9519337951114808,2.2075383998945552,3.1742819054570086,2.5329273429727492,1.6876492004644934,1.735553712200156,1.5759744351047467,0.9274287287169839,0.5023712681874077,0.5995384327982665,-0.29207463619368823,0.7988791497372447,-0.9166909208658486,-1.0809094101754204,0.22453139961038643,2.0000000000000004,,,,,,,,,,,,,,,,,
